==30222== NVPROF is profiling process 30222, command: /usr/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=6, pipe_handle=20) --multiprocessing-fork
==30222== Profiling application: /usr/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=6, pipe_handle=20) --multiprocessing-fork
==30222== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
ms,ms,,,,,,,,KB,KB,MB,GB/s,,,,,,,
1964.637621,0.007584,,,,,,,,,,2.000000,257.532305,"Device",,"Tesla V100-DGXS-32GB (3)","1","82","[CUDA memset]",3985
1968.630345,0.001440,,,,,,,,,,0.003296,2.235174,"Device",,"Tesla V100-DGXS-32GB (3)","1","80","[CUDA memset]",4180
1968.642633,0.001024,,,,,,,,,,0.000015,0.014552,"Device",,"Tesla V100-DGXS-32GB (3)","1","80","[CUDA memset]",4184
1969.864028,0.013024,,,,,,,,,,10.000000,749.817644,"Device",,"Tesla V100-DGXS-32GB (3)","1","83","[CUDA memset]",4199
2014.310229,0.004288,,,,,,,,,,2.000000,455.486241,"Device",,"Tesla V100-DGXS-32GB (3)","1","84","[CUDA memset]",4215
2058.609872,0.001313,,,,,,,,,,0.000092,0.068094,"Pageable","Device","Tesla V100-DGXS-32GB (3)","1","81","[CUDA memcpy HtoD]",4221
2059.727300,0.001056,,,,,,,,,,0.000092,0.084666,"Pageable","Device","Tesla V100-DGXS-32GB (3)","1","81","[CUDA memcpy HtoD]",4223
2060.592379,0.004064,,,,,,,,,,2.000000,480.591781,"Device",,"Tesla V100-DGXS-32GB (3)","1","85","[CUDA memset]",4239
2145.784822,0.001696,,,,,,,,,,0.000092,0.052716,"Pageable","Device","Tesla V100-DGXS-32GB (3)","1","81","[CUDA memcpy HtoD]",4245
2151.170364,0.011328,,,,,,,,,,8.000000,689.662782,"Device",,"Tesla V100-DGXS-32GB (3)","1","86","[CUDA memset]",4256
2193.378126,0.001824,,,,,,,,,,0.006393,3.423019,"Device",,"Tesla V100-DGXS-32GB (3)","1","80","[CUDA memset]",4262
2207.905551,0.001440,,,,,,,,,,0.000015,0.010348,"Pageable","Device","Tesla V100-DGXS-32GB (3)","1","80","[CUDA memcpy HtoD]",4271
2207.915183,0.001791,,,,,,,,,,0.006393,3.486090,"Pageable","Device","Tesla V100-DGXS-32GB (3)","1","80","[CUDA memcpy HtoD]",4274
2251.318420,0.194974,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (3)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4300
2251.628176,0.182974,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (3)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4350
2251.836462,0.183166,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (3)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4400
2252.027596,0.184222,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (3)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4450
2252.213610,0.183326,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (3)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4500
2252.398024,0.182142,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (3)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4550
2252.581126,0.182878,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (3)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4600
2252.764996,0.182814,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (3)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4650
2252.948770,0.182910,1,1,1,640,1,1,96,5.203125,40.312500,,,,,"Tesla V100-DGXS-32GB (3)","1","16","ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm*, unsigned long, ncclWork*)",4700
