==30560== NVPROF is profiling process 30560, command: /usr/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=6, pipe_handle=16) --multiprocessing-fork
==30560== Profiling application: /usr/bin/python3 -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=6, pipe_handle=16) --multiprocessing-fork
==30560== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
ms,ms,,,,,,,,KB,KB,MB,GB/s,,,,,,,
1874.255138,0.007552,,,,,,,,,,2.000000,258.623543,"Device",,"Tesla V100-DGXS-32GB (2)","1","82","[CUDA memset]",3985
1877.232353,0.001472,,,,,,,,,,0.003296,2.186583,"Device",,"Tesla V100-DGXS-32GB (2)","1","80","[CUDA memset]",4180
1877.245121,0.001024,,,,,,,,,,0.000015,0.014552,"Device",,"Tesla V100-DGXS-32GB (2)","1","80","[CUDA memset]",4184
1878.435475,0.012928,,,,,,,,,,10.000000,755.385597,"Device",,"Tesla V100-DGXS-32GB (2)","1","83","[CUDA memset]",4197
1922.195376,0.004864,,,,,,,,,,2.000000,401.547081,"Device",,"Tesla V100-DGXS-32GB (2)","1","84","[CUDA memset]",4215
1966.481703,0.001311,,,,,,,,,,0.000092,0.068198,"Pageable","Device","Tesla V100-DGXS-32GB (2)","1","81","[CUDA memcpy HtoD]",4221
1967.706905,0.001024,,,,,,,,,,0.000092,0.087311,"Pageable","Device","Tesla V100-DGXS-32GB (2)","1","81","[CUDA memcpy HtoD]",4223
1968.740462,0.013823,,,,,,,,,,10.000000,706.476525,"Device",,"Tesla V100-DGXS-32GB (2)","1","85","[CUDA memset]",4239
2009.752584,0.004288,,,,,,,,,,2.000000,455.486241,"Device",,"Tesla V100-DGXS-32GB (2)","1","86","[CUDA memset]",4255
2057.553592,0.001440,,,,,,,,,,0.000092,0.062088,"Pageable","Device","Tesla V100-DGXS-32GB (2)","1","81","[CUDA memcpy HtoD]",4261
2057.888437,0.001023,,,,,,,,,,0.000092,0.087397,"Pageable","Device","Tesla V100-DGXS-32GB (2)","1","81","[CUDA memcpy HtoD]",4263
2104.809198,0.011328,,,,,,,,,,8.000000,689.662782,"Device",,"Tesla V100-DGXS-32GB (2)","1","87","[CUDA memset]",4274
2149.279427,0.001823,,,,,,,,,,0.006393,3.424897,"Device",,"Tesla V100-DGXS-32GB (2)","1","80","[CUDA memset]",4280
2203.754568,0.001728,,,,,,,,,,0.000015,0.008623,"Pageable","Device","Tesla V100-DGXS-32GB (2)","1","80","[CUDA memcpy HtoD]",4289
